"index","country","company","valuation_in_billions"
"0","China","Bytedance","180"
"1","United States","SpaceX","100"
"2","Sweden","Klarna","46"
"3","Australia","Canva","40"
"4","United Kingdom","Checkout.com","40"
"5","Bahamas","FTX","32"
"6","India","BYJU's","22"
"7","Indonesia","J&T Express","20"
"8","Turkey","Getir","12"
"9","Estonia","Bolt","11"
"10","Germany","Celonis","11"
"11","Hong Kong","Lalamove","10"
"12","South Korea","Yanolja","9"
"13","Mexico","Kavak","9"
"14","Canada","Dapper Labs","8"
"15","Netherlands","Mollie","6"
"16","Finland","RELEX Solutions","6"
"17","France","Back Market","6"
"18","Israel","Wiz","6"
"19","Denmark","Pleo","5"
"20","Brazil","C6 Bank","5"
"21","Colombia","Rappi","5"
"22","Lithuania","Vinted","5"
"23","Belgium","Collibra","5"
"24","Singapore","HyalRoute","4"
"25","Austria","BitPanda","4"
"26","Ireland","BrowserStack","4"
"27","Switzerland","Acronis","3"
"28","United Arab Emirates","Vista Global","3"
"29","Vietnam","Sky Mavis","3"
"30","Thailand","Ascend Money","2"
"31","Bermuda","Afiniti","2"
"32","Chile","NotCo","2"
"33","Japan","SmartNews","2"
"34","Luxembourg","OCSiAl","2"
"35","Malaysia","Carsome","2"
"36","Nigeria","Opay","2"
"37","Norway","Cognite","2"
"38","Philippines","Mynt","2"
"39","Senegal","Wave","2"
"40","South Africa","Promasidor Holdings","2"
"41","Spain","Jobandtalent","2"
"42","Argentina","Uala","2"
"43","Italy","Scalapay","1"
"44","Czech Republic","Rohlik","1"
"45","Croatia","Infobip","1"